title,description,pubdate
Georgia grand jury recommended charging three US senators,But prosecutors ultimately did not indict Lindsey Graham and other Trump allies on election charges.,"Fri, 08 Sep 2023 15:07:39 GMT"
King Charles attends service for anniversary of Elizabeth II's death,Prince Harry visits St George's Chapel in Windsor as royals mark anniversary of the Queen's death.,"Fri, 08 Sep 2023 14:33:28 GMT"
Climate change: UN calls for radical changes to stem warming,A review of action on climate since the Paris agreement calls for an end to fossil fuels without carbon capture.,"Fri, 08 Sep 2023 14:00:59 GMT"
Ukraine condemns 'sham' elections in Russian-occupied regions,Many taking part in early polling have been asked to vote in the presence of armed Russian soldiers.,"Fri, 08 Sep 2023 15:32:55 GMT"
Concern as pandemic puppies reach difficult age,"Dogs bought during lockdown may only now be starting to have behaviour problems, the RSPCA says.","Fri, 08 Sep 2023 13:39:44 GMT"
"Ulez: 510 camera-related crimes in five months, says Met Police",Met Police figures reveal 510 Ulez camera-related crime reports during five months this year.,"Fri, 08 Sep 2023 14:09:17 GMT"
Elon Musk says he withheld Starlink over Crimea to avoid escalation,"A senior Ukrainian official says this enabled Russian attacks and accuses him of ""committing evil"".","Fri, 08 Sep 2023 14:14:29 GMT"
Tech giants face fines for animal cruelty videos,The change to the Online Safety Bill comes as a result of a BBC Eye Investigation into global monkey abuse.,"Fri, 08 Sep 2023 13:50:47 GMT"
Stonehaven crash: Network Rail fined £6.7m over fatal derailment,Three people died and six were injured after a train struck a landslide south of Stonehaven in 2020.,"Fri, 08 Sep 2023 13:17:02 GMT"
One Chip Challenge: Amazon and eBay pull spicy tortilla from UK shop,The novelty spicy tortilla has been recalled in the US after it was linked to the death of a teenager.,"Fri, 08 Sep 2023 14:02:22 GMT"
"Boy, 10, dies after electric shock at Blackpool hotel Tiffany's","The child was found unresponsive on Sunday at a Blackpool hotel and died on Thursday, police say.","Fri, 08 Sep 2023 12:56:10 GMT"
"Thodex cryptocurrency boss jailed for 11,196 years in Turkey for fraud",Faruk Fatih Ozer was found guilty of defrauding millions of dollars from investors in his collapsed Thodex platform.,"Fri, 08 Sep 2023 13:34:03 GMT"
Mercury Prize winners Ezra Collective: Music needs to diversify away from London,Mercury Prize winners Ezra Collective are the ninth consecutive act from the capital to bag best album.,"Fri, 08 Sep 2023 14:03:40 GMT"
King Charles: What sort of monarch has he been in his first year?,"A year after taking the throne, the BBC's Sean Coughlan looks at what King Charles has done differently.","Fri, 08 Sep 2023 00:03:02 GMT"
"Sextortion on Snapchat is not the end of my world, says victim",Nathan McErlean was given an ultimatum - pay thousands or have nude photos of him shared online.,"Fri, 08 Sep 2023 08:54:04 GMT"
Has Network Rail got off lightly over train crash?,It has been suggested that corporate manslaughter charges should be an option in similar cases in the future.,"Fri, 08 Sep 2023 11:39:37 GMT"
Quiz of the week: What's not on the menu at this year's Bake Off?,How closely have you been paying attention to what's been going on over the past seven days?,"Fri, 08 Sep 2023 15:23:07 GMT"
Red Bull 400: Amputee Milly Pickles completes 'world's steepest race',"Milly Pickles, 26, competed in the Red Bull 400 race six years after her below-the-knee amputation.","Fri, 08 Sep 2023 01:18:15 GMT"
Johnny Kitagawa's sexual abuse: Japan's worst kept secret,"For decades, sexual assault accusations marred his career - and for decades, the media failed to investigate.","Fri, 08 Sep 2023 11:36:30 GMT"
France v New Zealand: A Rugby World Cup opener without equal,The occasion and history have ramped up expectations for France's Rugby World Cup opener against the All Blacks in Paris.,"Thu, 07 Sep 2023 21:12:01 GMT"
Delhi: India seeks G20 consensus as Ukraine war shadow looms,India doesn't want the summit under its presidency to be the first to end without a joint declaration.,"Fri, 08 Sep 2023 06:39:26 GMT"
Has Australia cleaned up its act on climate?,"Elected last year, PM Anthony Albanese vowed to haul his laggard nation from the ""naughty corner"".","Thu, 07 Sep 2023 16:28:38 GMT"
"Vet prices: 'I spent £12,000 on my pug'","Pet owners reveal how much their vet bills set them back, as a review of the industry is launched.","Thu, 07 Sep 2023 14:46:35 GMT"
Young brothers are golf’s 'wee wonders',Evan Macaulay and his brother Lucas won prestigious UK golf titles on the same day.,"Fri, 08 Sep 2023 05:16:09 GMT"
"I won't rush India-UK trade deal, says Rishi Sunak",The prime minister is on a visit to India for talks with leaders of the world's biggest economies.,"Fri, 08 Sep 2023 13:37:07 GMT"
No bids for offshore wind in government auction,There will be no new offshore wind projects after firms said the price for electricity was too low.,"Fri, 08 Sep 2023 13:18:05 GMT"
Greek floods: PM Mitsotakis warns of very unequal battle with nature,Rescuers try to reach hundreds of people trapped by floods in Greece where seven people have died.,"Fri, 08 Sep 2023 14:02:49 GMT"
Tonight Show host Jimmy Fallon apologises over toxic workplace claims,The NBC's Tonight Show host has been accused by staff who blame him for a toxic atmosphere.,"Fri, 08 Sep 2023 11:09:30 GMT"
S Club team up with heart charity after Paul Cattermole's death,The group has teamed up with the British Heart Foundation following the death of Paul Cattermole.,"Fri, 08 Sep 2023 09:49:29 GMT"
New Covid variant BA.2.86 behind Norfolk care home outbreak,Health officials say it is too early to know whether BA.2.86 is more serious than previous strains.,"Fri, 08 Sep 2023 10:11:31 GMT"
North Korea: Kim Jong Un reveals 'nuclear attack submarine',North Korea has not yet demonstrated that the submarine is actually operational.,"Fri, 08 Sep 2023 10:39:24 GMT"
Hong Kong: Roads collapse and streets flood,Hong Kong and southern China have been hit with some of the heaviest rainfall on record for the region.,"Fri, 08 Sep 2023 07:47:24 GMT"
Hong Kong and southern China battle widespread flooding from record rains,"Streets and subway stations in Hong Kong are underwater, while many flights in Guangdong are suspended.","Fri, 08 Sep 2023 14:38:24 GMT"
Paul Gascoigne 'couldn't resist' kissing Prince William,The former England footballer turned up in a crowd that greeted Prince William at a Pret A Manger.,"Fri, 08 Sep 2023 13:18:41 GMT"
Five million vapes thrown away every week - research,"Waste problem caused by single-use products quadruples in year, says Material Focus.","Fri, 08 Sep 2023 00:18:43 GMT"
YouTube starts verifying health workers in the UK,The plan will help ensure YouTubers are genuinely qualified to dish out medical information.,"Fri, 08 Sep 2023 01:00:57 GMT"
Mercury Music Prize: Ezra Collective become first jazz winners,"They won the £25,000 for their album Where I'm Meant To Be, which is the first-ever jazz album to win.","Thu, 07 Sep 2023 22:28:46 GMT"
Wrong-way driver calls police on himself by mistake,The drunk driver reported that he was almost hit by a car going in the wrong direction.,"Thu, 07 Sep 2023 16:22:32 GMT"
Danny Masterson sentenced to 30 years to life for two rapes,The star of That '70s Show sat in court as the two women he raped described the impact of his crimes.,"Thu, 07 Sep 2023 22:57:12 GMT"
Apple shares slide after China government iPhone ban reports,The technology giant's stock market valuation has fallen by almost $200bn in the last two days.,"Fri, 08 Sep 2023 11:45:05 GMT"
Two Brewers: Teen arrested over alleged homophobic attack,Detectives investigating an alleged homophobic attack in south London arrest a teenager on suspicion of GBH.,"Thu, 07 Sep 2023 20:10:31 GMT"
Ryanair boss Michael O'Leary hit with cream pies by climate protesters,Michael O'Leary declared the cream pies delicious after wiping himself down in Brussels.,"Thu, 07 Sep 2023 13:31:34 GMT"
'Ritual mass murder' report was yoga class,"Police say the call was made with ""good intentions"" after students were mistaken for bodies.","Thu, 07 Sep 2023 16:41:25 GMT"
Virgil van Dijk: Liverpool captain gets an extra one-match ban for red-card reaction at Newcastle,"Liverpool captain Virgil van Dijk is suspended for one match and fined £100,000 for acting in an ""improper manner"" after being sent off in his side's win at Newcastle.","Fri, 08 Sep 2023 15:25:43 GMT"
"US Open 2023 results: Coco Gauff beats Karolina Muchova, Aryna Sabalenka edges past Madison Keys",American teenager Coco Gauff will play new world number one Aryna Sabalenka in the US Open final after a New York night disrupted by climate protesters.,"Fri, 08 Sep 2023 06:31:42 GMT"
Luis Rubiales: Spanish prosecutor files complaint with high court,A prosecutor files a complaint with Spain's high court against suspended football federation president Luis Rubiales for sexual assault.,"Fri, 08 Sep 2023 13:45:59 GMT"
England v New Zealand: Liam Livingstone hits Kyle Jamieson for three sixes in a row,Watch as Liam Livingstone hits Kyle Jamieson for three sixes in a row during the first ODI against New Zealand in Cardiff.,"Fri, 08 Sep 2023 15:21:30 GMT"
"Ireland v Romania: Mack Hansen's absence from opener a selection call, says Mike Catt",Mike Catt says Mack Hansen's absence from Ireland's World Cup opener against Romania is a selection decision and nothing to do with discipline.,"Fri, 08 Sep 2023 13:15:22 GMT"
"Neymar: Saudi Pro League could be better than Ligue 1 already, says Brazil star","Saudi Arabia's football league could now be stronger than France's Ligue 1, says Brazil star Neymar.","Fri, 08 Sep 2023 13:29:25 GMT"
Daniel Khalife’s route out of Wandsworth prison in maps and graphics,"As the search for missing Daniel Khalife continues, these maps show the early part of his route out of HMP Wandsworth.","Fri, 08 Sep 2023 15:06:47 GMT"
Daniel Khalife: Police search Richmond Park for terror suspect,"The head of the Metropolitan Police says Daniel Khalife's escape is ""extremely concerning"".","Fri, 08 Sep 2023 12:04:20 GMT"
Watch: Sightings of delivery lorry used in escape,Footage shows the vehicle being searched by police after it left HMP Wandsworth.,"Thu, 07 Sep 2023 19:16:47 GMT"
HMP Wandsworth inmate recalls kitchen colleague Daniel Khalife,"Daniel Khalife seemed ""odd"", according to Chris Jones who worked with him in Wandsworth Prison.","Fri, 08 Sep 2023 14:40:56 GMT"
"Wandsworth prison life: Decay, drugs and drudgery","Prison is described as a ""powder keg"" with overcrowding, understaffing and plagues of vermin.","Thu, 07 Sep 2023 11:52:22 GMT"
Chris Mason: Questions over how prisoner managed to escape,"The BBC's political editor reflects on suspected terrorist Daniel Abed Khalife's ""gobsmacking"" escape.","Thu, 07 Sep 2023 01:24:31 GMT"
Interest rate and mortgages: What you can do about rising payments,"Watch the BBC's Lora Jones tell you five things you can do about your mortgage, in a minute.","Thu, 03 Aug 2023 03:44:44 GMT"
"What is happening to house prices, and could there be a crash?",How higher interest rates are changing the UK's housing market.,"Tue, 01 Aug 2023 12:47:44 GMT"
What are my rights if my flight is cancelled or delayed?,Technical glitches have caused disruption at airports but passengers do have rights.,"Tue, 29 Aug 2023 14:58:37 GMT"
First time home buyers: How much can I borrow?,"With rents rising, more people are crunching the numbers to see if they can afford to buy.","Fri, 12 May 2023 09:47:46 GMT"
Six tips for getting a job if you're over 50,Recruiters and charities give their advice for anyone wanting to get back into work.,"Thu, 16 Mar 2023 11:05:55 GMT"
UK inflation rate calculator: How much are prices rising for you?,Use our calculator to find out how much the cost of living is going up in your household.,"Wed, 16 Aug 2023 06:14:47 GMT"
Rent increases: What you can do about a rise from your landlord,"The BBC's Lora Jones tells you four things you can do, if your landlord asks for more money.","Mon, 17 Oct 2022 22:42:21 GMT"
Energy bills: What can I do if I can't afford to pay?,"If you're struggling to afford your gas and electricity bills, what options are available?","Fri, 25 Aug 2023 14:22:46 GMT"
Food prices: How can I save money on my grocery shop?,The cost-of-living crisis continues to bite. Here are some things that can reduce the impact.,"Mon, 31 Jul 2023 10:57:17 GMT"
Five ways to save money on your packed lunch,The lunchbox is back after the summer holidays so here are some top tips on making savings at lunchtime.,"Sat, 02 Sep 2023 23:40:38 GMT"
Cost of living: Five tips when asking for a pay rise,"Recruiters, a manager and a workplace psychologist give their advice on how to negotiate for more money.","Tue, 15 Aug 2023 10:33:09 GMT"
How to get a job: Six expert tips for finding work,"There are 10m people out of work in the UK, so if you're searching for a job you're not alone. Here are some tips on how to get started.","Mon, 14 Aug 2023 16:03:58 GMT"
Train strikes: When is the next action happening?,Members of the RMT rail workers' union and Aslef train drivers' union are set to strike again.,"Fri, 01 Sep 2023 19:58:25 GMT"
Fuel cost: How to save petrol and diesel,"With weak competition adding to fuel prices, are drivers doing the right things to save money?","Mon, 03 Jul 2023 13:01:34 GMT"
